Chaetodon,Distribution_Fishbase,Distribution_Bbbook,Distribution_modified_JPSK,Distribution_simple,diet_Bbbook,diet_sk,max_length_fishbase
adiergastos,western pacific,western pacific,western pacific,pacific,facultative,facultative,20
andamanensis,eastern indian,eastern indian,indian,indian,obligate,obligate,15
argentatus,western pacific,western pacific,western pacific,pacific,facultative,facultative,20
auriga,indo-pacific,indo-pacific,indo-pacific,indo-pacific,facultative,facultative,23
auripes,western pacific,western pacific,north western pacific,pacific,facultative,facultative,20
baronessa,western pacific,pacific,western pacific,pacific,obligate,obligate,16
bennetti,indo-pacific,indo-pacific,indo-pacific,indo-pacific,obligate,obligate,20
citrinellus,indo-pacific,indo-pacific,indo-pacific,indo-pacific,facultative,facultative,13
collare,indo-west pacific,"indian, red sea",indo-west pacific,indo-pacific,facultative,facultative,18
decussatus,indo-west pacific,indian,indo-west pacific,indo-pacific,facultative,facultative,20
ephippium,indo-pacific,indo-pacific,pacific,pacific,facultative,facultative,30
falcula,indian,indian,indian,indian,facultative,facultative,20
guttatissimus,indian,indian,indian,indian,obligate,obligate,12
interruptus,indian,indian,indian,indian,facultative,facultative,20
kleinii,indo-pacific,indo-pacific,indo-pacific,indo-pacific,facultative,facultative,15
lineolatus,indo-pacific,indo-pacific,indo-pacific,indo-pacific,invertivore,invertivore,30
lunula,indo-pacific,indo-pacific,indo-pacific,indo-pacific,facultative,facultative,20
lunulatus,pacific,western pacific,pacific,pacific,obligate,obligate,14
melannotus,indo-pacific,"indo-pacific, red sea",indo-pacific,indo-pacific,obligate,facultative,18
meyeri,indo-pacific,indo-pacific,indo-pacific,indo-pacific,obligate,obligate,20
ocellicaudus,western central pacific,western pacific,western pacific,pacific,obligate,facultative,15
octofasciatus,indo-west pacific,indo-pacific,indo-west pacific,pacific,obligate,obligate,12
ornatissimus,indo-pacific,indo-pacific,pacific,pacific,obligate,obligate,20
oxycephalus,indo-pacific,indo-west pacific,indo-pacific,indo-pacific,invertivore,invertivore,25
plebeius,western pacific,indo-pacific,indo-pacific,indo-pacific,obligate,obligate,15
punctatofasciatus,indo-pacific,indo-pacific,pacific,pacific,obligate,obligate,12
rafflesii,indo-pacific,indo-pacific,pacific,pacific,facultative,facultative,18
reticulatus,pacific,pacific,pacific,pacific,obligate,obligate,18
selene,western pacific,western pacific,western pacific,pacific,invertivore,invertivore,16
semeion,indo-pacific,indo-pacific,indo-pacific,indo-pacific,invertivore,invertivore,26
speculum,indo-pacific,indo-pacific,indo-pacific,indo-pacific,facultative,facultative,18
triangulum,indian,indian,indian,indian,obligate,obligate,16
trifascialis,indo-pacific,"indo-pacific, red sea",indo-pacific,indo-pacific,obligate,obligate,18
trifasciatus,indo-pacific,indian,indian,indian,obligate,obligate,15
ulietensis,indo-pacific,indo-pacific,indo-pacific,indo-pacific,facultative,facultative,15
unimaculatus,indo-pacific,indo-pacific,pacific,pacific,obligate,obligate,20
vagabundus,indo-pacific,indo-pacific,indo-pacific,indo-pacific,invertivore,invertivore,23
xanthurus,western pacific,western pacific,pacific,pacific,facultative,facultative,14
